Simulation	mem	times	h	pneut	s
fwdpy11	33608	0.3637916666666667	0.5	0.99	0.05
fwdpy11	36424	0.361325	0.5	0.99	0.05
fwdpy11	31844	0.3712111111111111	0.5	0.99	0.05
fwdpy11	31888	0.37350555555555554	0.5	0.99	0.05
fwdpy11	31964	0.3698666666666667	0.5	0.99	0.05
fwdpy11	32144	0.3581138888888889	0.5	0.99	0.05
fwdpy11	32232	0.37005	0.5	0.99	0.05
fwdpy11	33716	0.36615555555555557	0.5	0.99	0.05
fwdpy11	32388	0.37156944444444445	0.5	0.99	0.05
fwdpy11	31672	0.3664527777777778	0.5	0.99	0.05
fwdpy11	31728	0.3708166666666667	0.5	0.99	0.05
fwdpy11	31860	0.3699222222222222	0.5	0.99	0.05
fwdpy11	34020	0.37191388888888893	0.5	0.99	0.05
fwdpy11	32184	0.3680083333333333	0.5	0.99	0.05
fwdpy11	32232	0.3709027777777778	0.5	0.99	0.05
fwdpy11	31644	0.37264166666666665	0.5	0.99	0.05
fwdpy11	31828	0.3709555555555556	0.5	0.99	0.05
fwdpy11	31824	0.36524166666666663	0.5	0.99	0.05
fwdpy11	33980	0.3738333333333333	0.5	0.99	0.05
fwdpy11	33556	0.3638361111111111	0.5	0.99	0.05
fwdpy11	32200	0.37149444444444446	0.5	0.99	0.05
fwdpy11	31828	0.3727527777777778	0.5	0.99	0.05
fwdpy11	31968	0.37055	0.5	0.99	0.05
fwdpy11	31692	0.36765	0.5	0.99	0.05
fwdpy11	31500	0.36883055555555555	0.5	0.99	0.05
fwdpy11	31652	0.36788333333333334	0.5	0.99	0.05
fwdpy11	32064	0.37030555555555555	0.5	0.99	0.05
fwdpy11	31500	0.3669722222222222	0.5	0.99	0.05
fwdpy11	31664	0.3703083333333333	0.5	0.99	0.05
fwdpy11	31652	0.3660805555555556	0.5	0.99	0.05
fwdpy11	31788	0.3731083333333334	0.5	0.99	0.05
fwdpy11	31696	0.3708583333333333	0.5	0.99	0.05
fwdpy11	31700	0.3709722222222222	0.5	0.99	0.05
slim	16952	0.4923638888888889	0.5	0.99	0.05
slim	17352	0.5150472222222222	0.5	0.99	0.05
slim	17600	0.5108166666666667	0.5	0.99	0.05
slim	17440	0.5115083333333333	0.5	0.99	0.05
slim	16772	0.5131833333333333	0.5	0.99	0.05
slim	16280	0.5095777777777778	0.5	0.99	0.05
slim	17180	0.5001583333333333	0.5	0.99	0.05
slim	17836	0.4932388888888889	0.5	0.99	0.05
slim	16976	0.4952138888888889	0.5	0.99	0.05
slim	17560	0.4891305555555555	0.5	0.99	0.05
slim	16368	0.5157472222222222	0.5	0.99	0.05
slim	16584	0.5022027777777778	0.5	0.99	0.05
slim	16996	0.501	0.5	0.99	0.05
slim	17544	0.4949055555555556	0.5	0.99	0.05
slim	17376	0.4874277777777778	0.5	0.99	0.05
slim	17184	0.5093416666666667	0.5	0.99	0.05
slim	17692	0.5154083333333334	0.5	0.99	0.05
slim	18236	0.5098888888888888	0.5	0.99	0.05
slim	17416	0.5032833333333333	0.5	0.99	0.05
slim	17680	0.4877722222222222	0.5	0.99	0.05
slim	16712	0.4985527777777778	0.5	0.99	0.05
slim	17788	0.5199722222222223	0.5	0.99	0.05
slim	17772	0.5024444444444445	0.5	0.99	0.05
slim	18500	0.5039638888888889	0.5	0.99	0.05
slim	18276	0.5205166666666666	0.5	0.99	0.05
slim	16572	0.5014972222222223	0.5	0.99	0.05
slim	18120	0.5163666666666666	0.5	0.99	0.05
slim	16996	0.5149694444444445	0.5	0.99	0.05
slim	16708	0.504363888888889	0.5	0.99	0.05
slim	18140	0.5087277777777778	0.5	0.99	0.05
slim	17056	0.5185722222222222	0.5	0.99	0.05
slim	16368	0.4978416666666667	0.5	0.99	0.05
slim	17308	0.49575277777777776	0.5	0.99	0.05
slim	17588	0.5028611111111111	0.5	0.99	0.05
slim	16752	0.4952361111111111	0.5	0.99	0.05
slim	16924	0.4995583333333334	0.5	0.99	0.05
slim	17104	0.4903083333333333	0.5	0.99	0.05
